bus,bus_name,v_nom,parent,parent_name,x_to_parent,runner_up,runner_up_name,x_to_runner_up,attachments,margin
68190,W_PV_BALLYCU,0.69,2141,DUNGARVAN,3.342697,,,,1,
12514,BOOLT 1 38,38.0,1251,BOOLTIAGH,0.386,,,,1,
12524,GLENMORE 38,38.0,1251,BOOLTIAGH,0.4663,,,,1,
12542,GLENMOREWF 2,20.0,1251,BOOLTIAGH,0.7993,,,,1,
67073,W_SORRELL IS,0.69,1251,BOOLTIAGH,0.9793,,,,1,
70030,AGHY3-,33.0,70010,AGHYOULE,0.2464,79010,ENNISKIL,1.17069,2,4.751176948051948
70031,GORT3-,33.0,70010,AGHYOULE,0.3428,79010,ENNISKIL,1.26709,2,3.696295215869312
70032,DYLN3-,33.0,70010,AGHYOULE,0.3428,79010,ENNISKIL,1.07429,2,3.1338681446907817
70033,DYLN3_CA,33.0,70010,AGHYOULE,0.3429,79010,ENNISKIL,1.07439,2,3.1332458442694664
70080,AGHY3_DU,33.0,70010,AGHYOULE,0.32621,79010,ENNISKIL,1.2505000000000002,2,3.8334201894485154
70090,RENEW_AG,33.0,70010,AGHYOULE,0.2465,79010,ENNISKIL,1.17079,2,4.749655172413793
70091,WIND_SNU,33.0,70010,AGHYOULE,0.40691,79010,ENNISKIL,1.3312,2,3.2714850949841487
70093,WIND_RUS,33.0,70010,AGHYOULE,0.34400000000000003,79010,ENNISKIL,1.26829,2,3.6868895348837203
70094,WIND_RUS,33.0,70010,AGHYOULE,0.3281,79010,ENNISKIL,1.2523900000000001,2,3.8170984455958554
70095,WIND_MM,33.0,70010,AGHYOULE,0.3185,79010,ENNISKIL,1.2427899999999998,2,3.9020094191522756
79030,ENNK3-,33.0,79010,ENNISKIL,0.2512,70010,AGHYOULE,1.16589,2,4.641281847133759
79031,EKNW3-,33.0,79010,ENNISKIL,0.3591,70010,AGHYOULE,1.27379,2,3.5471734892787525
79032,BELK3-,33.0,79010,ENNISKIL,1.5704000000000002,70010,AGHYOULE,2.48509,2,1.5824566989302087
79080,ENNK3_DU,33.0,79010,ENNISKIL,0.34591,70010,AGHYOULE,1.0963100000000001,2,3.1693504090659426
79081,ENNK3_DU,33.0,79010,ENNISKIL,0.48839,70010,AGHYOULE,0.9287000000000001,2,1.9015540858739943
79082,ENNK3_DU,33.0,79010,ENNISKIL,1.2643,70010,AGHYOULE,2.17899,2,1.7234754409554696
79090,RENEW_EN,33.0,79010,ENNISKIL,0.25129999999999997,70010,AGHYOULE,1.16599,2,4.639832869080781
79091,WIND_CAL,33.0,79010,ENNISKIL,1.3283,70010,AGHYOULE,2.2429900000000003,2,1.6886170292855531
79094,ORA MORE,33.0,79010,ENNISKIL,0.6982999999999999,70010,AGHYOULE,1.61299,2,2.309881139911213
20422,CORDUFF,10.5,star:2052-2041-20422-2,star point,0.0075,,,,1,
34301,KILMAHUD,10.5,3431,KILMAHUD,0.4,,,,1,
13102,SCARTAGLEN,20.0,1311,CORDAL,0.759496,,,,1,
13112,COOLEGREAN 2,20.0,1311,CORDAL,0.588496,,,,1,
13114,CORDAL,38.0,1311,CORDAL,0.355,,,,1,
13124,CORDAL,38.0,1311,CORDAL,0.36469999999999997,,,,1,
13134,CORDAL,38.0,1311,CORDAL,0.526,,,,1,
13170,W_SCARTAGLEN,0.4,1311,CORDAL,0.975496,,,,1,
13171,W_COOLEGREAN,0.69,1311,CORDAL,1.310496,,,,1,
13172,W_SCARTAGLEN,0.69,1311,CORDAL,2.434496,,,,1,
14602,BARRANAF,20.0,1461,BARRYMORE,0.9597600000000001,,,,1,
14604,BARRYMORE,38.0,1461,BARRYMORE,0.4,,,,1,
14605,BARRYMOR,38.0,1461,BARRYMORE,0.4001,,,,1,
14614,BARRANAF,38.0,1461,BARRYMORE,0.73776,,,,1,
68134,W_BARRANAF_P,0.69,1461,BARRYMORE,1.09476,,,,1,
53401,CHARLESTOWN,10.0,5341,TONROE,2.567,,,,1,
53404,TONROE,38.0,5341,TONROE,0.367,,,,1,
53411,ROOSKY,10.0,5341,TONROE,1.851,,,,1,
53412,LARGAN HILL,20.0,5341,TONROE,1.567,,,,1,
53414,BALLAGHADREE,38.0,5341,TONROE,0.3684,,,,1,
53421,BIOCORE,10.0,5341,TONROE,1.1882000000000001,,,,1,
53431,BALLAGHADREE,10.0,5341,TONROE,1.1684,,,,1,
53471,W_LARGANH,0.69,5341,TONROE,2.409,,,,1,
53472,W_ROOSKY,0.69,5341,TONROE,3.045,,,,1,
53473,W_GRADYJOINE,0.66,5341,TONROE,4.625,,,,1,
53474,W_BIOCORE,0.4,5341,TONROE,3.1382,,,,1,
42602,NENAGH,20.0,4261,NENAGH,1.334,,,,1,
42604,NENAGH,38.0,4261,NENAGH,0.4,,,,1,
42672,W_CURRAGHG,0.69,4261,NENAGH,3.197,,,,1,
42673,W_TEMPLEDE,0.4,4261,NENAGH,2.524,,,,1,
42674,W_CURRAGHGRA,0.69,4261,NENAGH,3.197,,,,1,
42675,W_NENAGH,0.69,4261,NENAGH,3.197,,,,1,
42676,W_NENAGH,0.69,4261,NENAGH,3.197,,,,1,
70330,ANTR3-,33.0,70311,ANTR1A,0.2464,70312,ANTR1B,0.2473,2,1.0036525974025974
70390,PV_RENEW_AN,33.0,70311,ANTR1A,0.2465,70312,ANTR1B,0.24739999999999998,2,1.0036511156186612
70394,PV_MILLAR FA,33.0,70311,ANTR1A,0.2801,70312,ANTR1B,0.28099999999999997,2,1.003213138164941
40602,MULLAGHARLIN,20.0,4061,MULLAGHARLIN,0.5,,,,1,
53604,TRILLICK,38.0,5361,TRILLICK,0.35,,,,1,
53612,DRUMLOUG,20.0,5361,TRILLICK,2.75,,,,1,
53615,CROCKAHENNY,20.0,5361,TRILLICK,1.15,,,,1,
53616,DRUMLOUG,20.0,5361,TRILLICK,1.15,,,,1,
53671,W_CROCKAHE,0.4,5361,TRILLICK,2.15,,,,1,
53672,W_DRUMLOUG,0.69,5361,TRILLICK,3.697,,,,1,
53674,W_DRUMLOUG,0.69,5361,TRILLICK,1.7080000000000002,,,,1,
68195,W_COOLY_PH1,38.0,5361,TRILLICK,0.35009999999999997,,,,1,
20402,CORDUFF,20.0,2041,CORDUFF,0.975,,,,1,
86330,NARD3-,33.0,86312,NARD1B,0.25,86311,NARD1A,0.2505,2,1.002
