name,v_nom,x,y,v_mag_pu_set,control,generator,sub_network,psse_name,station,psse_type,area,zone,jurisdiction,v_ang_psse,coordinate_source,has_coordinates
1701,110.0,-8.1769822,54.4987533,1.08705,PQ,17073-3,0,CATH_FALL,CATH_FALL,1.0,1.0,1.0,IE,-17.3035,geocoded,True
1711,110.0,-6.2276046,53.4030295,1.05482,PQ,,0,CROMCASTLE,CROMCASTLE,1.0,11.0,11.0,IE,-6.8209,geocoded,True
1721,110.0,-7.8984212,52.3769959,1.07176,PQ,,0,CAHIR,CAHIR,1.0,8.0,8.0,IE,-1.6735,geocoded,True
1731,110.0,-6.2276046,53.4030295,1.05482,PQ,,0,CROMCASTLE,CROMCASTLE,1.0,11.0,11.0,IE,-6.8209,geocoded,True
1741,110.0,-6.1967385,53.2562454,1.06114,PQ,,0,CARRICKMINES,CARRICKMINES,1.0,11.0,11.0,IE,-5.9397,geocoded,True
1742,220.0,-6.1967385,53.2562454,1.06031,PQ,,0,CARRICKMINES,CARRICKMINES,1.0,11.0,11.0,IE,-3.9125,geocoded,True
1761,110.0,-8.1042024,54.4875201,1.08688,PQ,17671-1,0,CLIFF,CLIFF,1.0,1.0,1.0,IE,-17.1056,geocoded,True
1781,110.0,-9.0544843,52.6298482,1.04949,PQ,,0,CASTLEFARM,CASTLEFARM,1.0,5.0,5.0,IE,5.2598,geocoded,True
1801,110.0,-6.3781277,53.2931796,1.05815,PQ,,0,COOKSTOWN,COOKSTOWN,1.0,11.0,11.0,IE,-5.9261,geocoded,True
1810,110.0,-6.2241754,53.407848,1.04855,PQ,,0,DARNDALE,DARNDALE,1.0,11.0,11.0,IE,-6.2685,geocoded,True
1811,110.0,-6.4497145,53.3179126,1.05684,PQ,,0,CLUTTERLAND,CLUTTERLAND,1.0,11.0,11.0,IE,-7.0188,geocoded,True
1821,110.0,-8.8482757,53.4834794,1.13359,PQ,,0,CLOON,CLOON,1.0,2.0,2.0,IE,-8.0365,geocoded,True
1831,110.0,-9.5853139,53.3804345,1.13152,PQ,,0,SCREEB,SCREEB,1.0,2.0,2.0,IE,-7.3703,geocoded,True
1841,110.0,-6.5144397,52.5323772,1.07027,PQ,,0,CRANE,CRANE,1.0,9.0,9.0,IE,-2.9155,geocoded,True
1851,110.0,-6.1567888,53.2433051,1.06037,PQ,,0,CHERRYWOOD,CHERRYWOOD,1.0,11.0,11.0,IE,-6.0322,geocoded,True
1861,110.0,-8.1088425,53.9373054,1.102,PQ,,0,CARRICK ON S,CARRICK ON S,1.0,3.0,3.0,IE,-12.1959,geocoded,True
1871,110.0,-6.3761003,53.4105364,1.05104,PQ,,0,COLLEGE PARK,COLLEGE PARK,1.0,11.0,11.0,IE,-7.8259,geocoded,True
1881,110.0,-8.6941349,52.3301844,1.05317,PQ,,0,CHARLEVILLE,CHARLEVILLE,1.0,5.0,5.0,IE,1.4765,geocoded,True
1901,110.0,-6.8445771,52.8325066,1.05808,PQ,,0,CARLOW,CARLOW,1.0,9.0,9.0,IE,-4.4507,geocoded,True
1921,110.0,-8.3012481,51.8651043,1.06132,PQ,,0,COW CROSS,COW CROSS,1.0,10.0,10.0,IE,7.9236,geocoded,True
1931,110.0,-8.6491987,54.1111523,1.14543,PQ,19317-XX,0,CUNGHILL,CUNGHILL,1.0,2.0,2.0,IE,-15.2674,geocoded,True
1941,110.0,-7.0847828,53.2891013,1.06,PQ,19471-1,0,CUSHALING,CUSHALING,1.0,11.0,11.0,IE,-5.0501,geocoded,True
1951,110.0,-9.5059925,53.8093444,1.16821,PQ,,0,CARROWBEG,CARROWBEG,1.0,2.0,2.0,IE,-14.0966,geocoded,True
1961,110.0,-8.3704585,51.9009511,1.0571,PQ,,0,CASTLEVIEW,CASTLEVIEW,1.0,10.0,10.0,IE,7.0125,geocoded,True
1971,110.0,-9.311485,51.9385387,1.05186,PQ,,0,COOMAGEARLAH,COOMAGEARLAH,1.0,5.0,5.0,IE,6.6755,geocoded,True
1981,110.0,-7.7446161,54.1527414,1.06862,PQ,,0,CORRACLASSY,CORRACLASSY,1.0,1.0,1.0,IE,-16.2049,geocoded,True
1991,110.0,-6.6343018,52.5904745,1.0711,PQ,,0,CASTLEDOCKRE,CASTLEDOCKRE,1.0,9.0,9.0,IE,-2.1806,geocoded,True
2001,110.0,-7.2796709,52.2493148,1.05717,PQ,,0,CULLENAGH,CULLENAGH,1.0,12.0,12.0,IE,0.4529,geocoded,True
2002,220.0,-7.2796709,52.2493148,1.05639,PQ,,0,CULLENAGH,CULLENAGH,1.0,12.0,12.0,IE,4.5804,geocoded,True
2021,110.0,-6.4163263,53.2892499,1.03844,PQ,,0,CITY WEST,CITY WEST,1.0,11.0,11.0,IE,-10.3417,geocoded,True
2041,110.0,-6.3649353,53.4193712,1.05112,PQ,,0,CORDUFF,CORDUFF,1.0,11.0,11.0,IE,-7.7731,geocoded,True
2042,220.0,-6.3649353,53.4193712,1.05911,PQ,,0,CORDUFF,CORDUFF,1.0,11.0,11.0,IE,-2.1662,geocoded,True
2052,220.0,-6.3649353,53.4193712,1.05911,PQ,,0,CORDUFFB,CORDUFFB,1.0,11.0,11.0,IE,-2.1662,geocoded,True
2072,220.0,-6.3817801,53.4146281,1.05873,PQ,20771-1,0,CRUISERATH,CRUISERATH,1.0,11.0,11.0,IE,-2.1281,geocoded,True
2090,110.0,-9.174368900000001,53.321867600000004,1.13548,PQ,,0,KNOCKRANNY A,KNOCKRANNY A,1.0,2.0,2.0,IE,-5.6024,neighbour mean,False
2091,110.0,-9.289752,53.3598717,1.13643,PQ,,0,KNOCKRANNY,KNOCKRANNY,1.0,2.0,2.0,IE,-6.3821,geocoded,True
2101,110.0,-6.4237884,54.0053368,1.06593,PQ,,0,DUNDALK,DUNDALK,1.0,7.0,7.0,IE,-11.1886,geocoded,True
2111,110.0,-9.3355257,53.3536722,1.13557,PQ,,0,UGGOOL,UGGOOL,1.0,2.0,2.0,IE,-5.6032,geocoded,True
2121,110.0,-8.8613742,52.7239924,1.07874,PQ,,0,DRUMLINE,DRUMLINE,1.0,4.0,4.0,IE,-1.162,geocoded,True
2131,110.0,-9.2344983,52.4434711,1.09255,PQ,,0,DROMADA,DROMADA,1.0,5.0,5.0,IE,4.7448,geocoded,True
2141,110.0,-7.6536881,52.1082836,1.0468,PQ,,0,DUNGARVAN,DUNGARVAN,1.0,12.0,12.0,IE,1.5508,geocoded,True
2161,110.0,-7.6676498,52.3836007,1.06255,PQ,,0,DOON,DOON,1.0,8.0,8.0,IE,-2.0268,geocoded,True
2171,110.0,-9.2491169,53.3058138,1.13734,PQ,,0,KNOCKALOUGH,KNOCKALOUGH,1.0,2.0,2.0,IE,-6.3904,geocoded,True
2181,110.0,-6.4010215,53.7247696,1.04672,PQ,,0,DRYBRIDGE,DRYBRIDGE,1.0,7.0,7.0,IE,-11.2233,geocoded,True
2202,220.0,-6.6881005,53.1543743,1.05762,PQ,,0,DUNSTOWN,DUNSTOWN,1.0,11.0,11.0,IE,-2.5291,geocoded,True
2204,380.0,-6.6881005,53.1543743,1.0493,PQ,,0,DUNSTOWN,DUNSTOWN,1.0,11.0,11.0,IE,-0.4115,geocoded,True
2221,110.0,-9.0897487,51.7232312,1.06426,PQ,,0,DUNMANWAY,DUNMANWAY,1.0,6.0,6.0,IE,4.5678,geocoded,True
2225,110.0,-9.0897487,51.7232312,1.06426,PQ,,0,DUNMANWAY,DUNMANWAY,1.0,6.0,6.0,IE,4.5678,geocoded,True
2231,110.0,-8.5499195,53.0367354,1.08615,PQ,,0,DERRYBRIEN,DERRYBRIEN,1.0,4.0,4.0,IE,-1.085,neighbour mean,False
2241,110.0,-7.928076,53.1259869,1.07201,PQ,,0,DALLOW,DALLOW,1.0,8.0,8.0,IE,-1.9828,geocoded,True
2251,110.0,-6.2342099,53.4212033,1.05546,PQ,,0,DARDISTOWN,DARDISTOWN,1.0,11.0,11.0,IE,-6.7837,geocoded,True
2261,110.0,-7.2138473,53.3581344,1.06327,PQ,,0,DERRYIRON,DERRYIRON,1.0,11.0,11.0,IE,-8.443,geocoded,True
2281,110.0,-9.2692746,53.8665266,1.16061,PQ,,0,DALTON_A1,DALTON_A1,1.0,2.0,2.0,IE,-11.6731,neighbour mean,False
2301,110.0,-6.8293304,53.3880882,1.05968,PQ,,0,DUNFIRTH,DUNFIRTH,1.0,11.0,11.0,IE,-8.5224,geocoded,True
2321,110.0,-7.7722302,54.8631648,1.08457,PQ,,0,DRUMKEEN,DRUMKEEN,1.0,1.0,1.0,IE,-21.9842,geocoded,True
2361,110.0,-8.9358728,52.860201,1.0855,PQ,,0,ENNIS,ENNIS,1.0,4.0,4.0,IE,-1.6791,geocoded,True
2391,110.0,-7.8209426,52.5172741,1.0645,PQ,,0,KILL HILL,KILL HILL,1.0,8.0,8.0,IE,-2.2826,geocoded,True
