,32508-XX,54571-1,55074-1,70390-DP,71093-BR,84095-BA,84096-LR,84097-MR,90540-LH,87991-BR,87995-FR
52,0.03148873655232091,0.06273878249579266,0.12183717751674805,0.1673576996001643,0.1612514739539804,0.22902883146986433,0.22902883146986433,0.22902883146986433,0.3225747842240563,0.1612514739539804,0.1612514739539804
53,0.05678304608917251,0.2285625669378601,0.2524867557374321,0.11140073649371206,0.11466046037218734,0.2598077393420428,0.2598077393420428,0.2598077393420428,0.3492518123162392,0.11466046037218734,0.11466046037218734
54,0.09701577897382213,0.23010883764930992,0.2168708942612807,0.23721048678116788,0.25593045003160675,0.3047439676370393,0.3047439676370393,0.3047439676370393,0.42904103009017064,0.25593045003160675,0.25593045003160675
55,0.0608590262560379,0.3833737344039774,0.25366562077113863,0.20747216686218087,0.36309027389927767,0.2549883110350488,0.2549883110350488,0.2549883110350488,0.45511779176038947,0.36309027389927767,0.36309027389927767
56,0.07284893258488243,0.3486471167243371,0.311465492894839,0.23943215001458357,0.3817184242786963,0.27949417566343165,0.27949417566343165,0.27949417566343165,0.41096456231935197,0.3817184242786963,0.3817184242786963
57,0.26233687799315897,0.3147110890970899,0.22963163400304143,0.19537734543602542,0.27680524556648867,0.16246865089715504,0.16246865089715504,0.16246865089715504,0.32538593103449953,0.27680524556648867,0.27680524556648867
58,0.22034785158345607,0.19474375103525135,0.12389153787169635,0.027586577534436253,0.029384784386996855,0.059319944355298256,0.059319944355298256,0.059319944355298256,0.1319788618443597,0.029384784386996855,0.029384784386996855
59,0.37014203835298964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,0.8034487661113647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,0.8258073720194778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,0.8264374602475764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,0.8780718719266474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,0.8950552613842641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,0.8404060567692413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,0.8105462168573584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,0.8921219369576285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,0.8695446007224854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,0.8353882874116647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,0.7936950848732374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,0.7392520973450943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,0.6749999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,0.6038648655665355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,0.5280671428031081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,0.44999713844618106,0.09519343808669256,0.02484981140129975,0.01681769643423104,0.008059716685742896,0.019860632104666893,0.019860632104666893,0.019860632104666893,0.02144540111181859,0.008059716685742896,0.008059716685742896
76,0.37183198538826673,0.09732777747944153,0.06089321615302243,0.04578447510772715,0.02688189952137113,0.04747491356067146,0.04747491356067146,0.04747491356067146,0.05064625987524688,0.02688189952137113,0.02688189952137113
77,0.2960446819886679,0.1707520760151682,0.06598039273066848,0.03978895242401056,0.02525702630806577,0.052198607642051705,0.052198607642051705,0.052198607642051705,0.054998280974784604,0.02525702630806577,0.02525702630806577
78,0.22499990132451342,0.09491846063219907,0.07029456834869889,0.055623309843587425,0.03833067757777968,0.05967252597203342,0.05967252597203342,0.05967252597203342,0.06813851043933282,0.03833067757777968,0.03833067757777968
79,0.16074557564105732,0.0979025168415609,0.08637135300970046,0.07057584337658133,0.05141013770034806,0.057520357192816916,0.057520357192816916,0.057520357192816916,0.08429533833708515,0.05141013770034806,0.05141013770034806
80,0.10523191353321527,0.09535125769142697,0.0765459874169043,0.05866116091247378,0.036805250833539395,0.027478479811208135,0.027478479811208135,0.027478479811208135,0.04352310721134302,0.036805250833539395,0.036805250833539395
81,0.06028739268797014,0.07741373652307003,0.03977252774171594,0.027829634467768108,0.018983806669085695,0.015929845886479915,0.015929845886479915,0.015929845886479915,0.020914298213998535,0.018983806669085695,0.018983806669085695
82,0.02712507788421227,0.026175230129597958,0.020657854419239414,0.012330259603634524,0.01140693026288803,0.009085380457787185,0.009085380457787185,0.009085380457787185,0.008907961369544857,0.01140693026288803,0.01140693026288803
83,0.006830946859922673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,0.0065140030673714235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,0.023327797172423528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,0.0501304453173552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,0.09764657225794449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,0.15862754476218094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,0.22475813583342705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,0.29606891391929424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,0.37185320744441364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,0.44985984268980245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,0.5281416799501186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,0.6037671978270972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,0.6730938046361981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,0.6649526023542837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,0.5556637976906352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,0.381973974861872,0.01717639317203224,0.020508428216111187,0.0041728491312099615,0.00520143593523886,0.003665304035621639,0.003665304035621639,0.003665304035621639,0.009971416323252633,0.00520143593523886,0.00520143593523886
100,0.7181977675207128,0.05399366005260906,0.05087069197376035,0.045209575428224145,0.049010742820169026,0.024762316047732564,0.024762316047732564,0.024762316047732564,0.03694558643040301,0.049010742820169026,0.049010742820169026
101,0.8567723460253152,0.08526714936041627,0.0714702380227135,0.08268825855328046,0.07078682881860908,0.047046032592058765,0.047046032592058765,0.047046032592058765,0.0695418258083165,0.07078682881860908,0.07078682881860908
102,0.8417726361845518,0.11025531687804857,0.10167582738448228,0.14146768406923665,0.12363115560141953,0.11764218377949394,0.11764218377949394,0.11764218377949394,0.13747447993439305,0.12363115560141953,0.12363115560141953
103,0.8369749445954964,0.10511471973754748,0.08827094742037928,0.17979666391596616,0.14775722349077877,0.1696744380326848,0.1696744380326848,0.1696744380326848,0.1515360022823891,0.14775722349077877,0.14775722349077877
104,0.5410532263476479,0.22659446028806468,0.20500268653267384,0.1850997369166362,0.15607096545008808,0.2901810009805285,0.2901810009805285,0.2901810009805285,0.1688309554179471,0.15607096545008808,0.15607096545008808
105,0.43254901251045164,0.29982510650530614,0.28273802831932876,0.09861724923233484,0.04872756805930535,0.08521983132529933,0.08521983132529933,0.08521983132529933,0.04593259294107642,0.04872756805930535,0.04872756805930535
106,0.5129620411681304,0.23636348797175247,0.279632852386614,0.06055091898122624,0.02222760474173852,0.05345420193368356,0.05345420193368356,0.05345420193368356,0.017836250330426875,0.02222760474173852,0.02222760474173852
107,0.6784847314202672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,0.7697582812543167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,0.8712646083189897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,0.8994580923752428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,0.899765930569008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,0.8999232961887329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113,0.8999959860027599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,0.8997282269456899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,0.8998796495080932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,0.8999910602342788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120,0.8993118387664808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121,0.8997455664931563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
