group_id,region,group_name,context,station,pdf_page
ROI-W/1,ROI-W,West Constraint Group 1: Lanesboro to Mullingar or Lanesboro Busbar Flows,intact,Garvagh,26
ROI-W/1,ROI-W,West Constraint Group 1: Lanesboro to Mullingar or Lanesboro Busbar Flows,intact,Tawnaghmore,26
ROI-W/1,ROI-W,West Constraint Group 1: Lanesboro to Mullingar or Lanesboro Busbar Flows,intact,Glenree,26
ROI-W/1,ROI-W,West Constraint Group 1: Lanesboro to Mullingar or Lanesboro Busbar Flows,intact,Thurles,26
ROI-W/1,ROI-W,West Constraint Group 1: Lanesboro to Mullingar or Lanesboro Busbar Flows,intact,Ikerrin,26
ROI-W/1,ROI-W,West Constraint Group 1: Lanesboro to Mullingar or Lanesboro Busbar Flows,intact,Tullabrack,26
ROI-W/1,ROI-W,West Constraint Group 1: Lanesboro to Mullingar or Lanesboro Busbar Flows,intact,Kill Hill,26
ROI-W/1,ROI-W,West Constraint Group 1: Lanesboro to Mullingar or Lanesboro Busbar Flows,intact,Uggool,26
ROI-W/1,ROI-W,West Constraint Group 1: Lanesboro to Mullingar or Lanesboro Busbar Flows,outage,Ardnacrusha,26
ROI-W/1,ROI-W,West Constraint Group 1: Lanesboro to Mullingar or Lanesboro Busbar Flows,outage,Knockalough,26
ROI-W/1,ROI-W,West Constraint Group 1: Lanesboro to Mullingar or Lanesboro Busbar Flows,outage,Booltiagh,26
ROI-W/1,ROI-W,West Constraint Group 1: Lanesboro to Mullingar or Lanesboro Busbar Flows,outage,Lisheen,26
ROI-W/1,ROI-W,West Constraint Group 1: Lanesboro to Mullingar or Lanesboro Busbar Flows,outage,Buffy,26
ROI-W/1,ROI-W,West Constraint Group 1: Lanesboro to Mullingar or Lanesboro Busbar Flows,outage,Moneypoint,26
ROI-W/1,ROI-W,West Constraint Group 1: Lanesboro to Mullingar or Lanesboro Busbar Flows,outage,Castlebar,26
ROI-W/1,ROI-W,West Constraint Group 1: Lanesboro to Mullingar or Lanesboro Busbar Flows,outage,Moy,26
ROI-W/1,ROI-W,West Constraint Group 1: Lanesboro to Mullingar or Lanesboro Busbar Flows,outage,Cauteen,26
ROI-W/1,ROI-W,West Constraint Group 1: Lanesboro to Mullingar or Lanesboro Busbar Flows,outage,Rathkeale,26
ROI-W/1,ROI-W,West Constraint Group 1: Lanesboro to Mullingar or Lanesboro Busbar Flows,outage,Corderry,26
ROI-W/1,ROI-W,West Constraint Group 1: Lanesboro to Mullingar or Lanesboro Busbar Flows,outage,Salthill,26
ROI-W/1,ROI-W,West Constraint Group 1: Lanesboro to Mullingar or Lanesboro Busbar Flows,outage,Cunghill,26
ROI-W/1,ROI-W,West Constraint Group 1: Lanesboro to Mullingar or Lanesboro Busbar Flows,outage,Sliabh Bawn,26
ROI-W/1,ROI-W,West Constraint Group 1: Lanesboro to Mullingar or Lanesboro Busbar Flows,outage,Dallow,26
ROI-W/1,ROI-W,West Constraint Group 1: Lanesboro to Mullingar or Lanesboro Busbar Flows,outage,Slieve Callan,26
ROI-W/1,ROI-W,West Constraint Group 1: Lanesboro to Mullingar or Lanesboro Busbar Flows,outage,Dalton,26
ROI-W/1,ROI-W,West Constraint Group 1: Lanesboro to Mullingar or Lanesboro Busbar Flows,outage,Sligo,26
ROI-W/1,ROI-W,West Constraint Group 1: Lanesboro to Mullingar or Lanesboro Busbar Flows,outage,Derrybrien,26
ROI-W/1,ROI-W,West Constraint Group 1: Lanesboro to Mullingar or Lanesboro Busbar Flows,outage,Srahnakilly,26
ROI-W/1,ROI-W,West Constraint Group 1: Lanesboro to Mullingar or Lanesboro Busbar Flows,outage,Garvagh,26
ROI-W/1,ROI-W,West Constraint Group 1: Lanesboro to Mullingar or Lanesboro Busbar Flows,outage,Tawnaghmore,26
ROI-W/1,ROI-W,West Constraint Group 1: Lanesboro to Mullingar or Lanesboro Busbar Flows,outage,Glenree,26
ROI-W/1,ROI-W,West Constraint Group 1: Lanesboro to Mullingar or Lanesboro Busbar Flows,outage,Thurles,26
ROI-W/1,ROI-W,West Constraint Group 1: Lanesboro to Mullingar or Lanesboro Busbar Flows,outage,Ikerrin,26
ROI-W/1,ROI-W,West Constraint Group 1: Lanesboro to Mullingar or Lanesboro Busbar Flows,outage,Tullabrack,26
ROI-W/1,ROI-W,West Constraint Group 1: Lanesboro to Mullingar or Lanesboro Busbar Flows,outage,Kill Hill,26
ROI-W/1,ROI-W,West Constraint Group 1: Lanesboro to Mullingar or Lanesboro Busbar Flows,outage,Uggool,26
ROI-W/2,ROI-W,West Constraint Group 2: Shannonbridge to Maynooth Flows,intact,Ardnacrusha,33
ROI-W/2,ROI-W,West Constraint Group 2: Shannonbridge to Maynooth Flows,intact,Glenree,33
ROI-W/2,ROI-W,West Constraint Group 2: Shannonbridge to Maynooth Flows,intact,Ardnagappary,33
ROI-W/2,ROI-W,West Constraint Group 2: Shannonbridge to Maynooth Flows,intact,Ikerrin,33
ROI-W/2,ROI-W,West Constraint Group 2: Shannonbridge to Maynooth Flows,intact,Athea,33
ROI-W/2,ROI-W,West Constraint Group 2: Shannonbridge to Maynooth Flows,intact,Kill Hill,33
ROI-W/2,ROI-W,West Constraint Group 2: Shannonbridge to Maynooth Flows,intact,Ballylickey,33
ROI-W/2,ROI-W,West Constraint Group 2: Shannonbridge to Maynooth Flows,intact,Kilpaddoge,33
ROI-W/2,ROI-W,West Constraint Group 2: Shannonbridge to Maynooth Flows,intact,Bandon,33
ROI-W/2,ROI-W,West Constraint Group 2: Shannonbridge to Maynooth Flows,intact,Knockacummer,33
ROI-W/2,ROI-W,West Constraint Group 2: Shannonbridge to Maynooth Flows,intact,Barrymore,33
ROI-W/2,ROI-W,West Constraint Group 2: Shannonbridge to Maynooth Flows,intact,Knockalough,33
ROI-W/2,ROI-W,West Constraint Group 2: Shannonbridge to Maynooth Flows,intact,Binbane,33
ROI-W/2,ROI-W,West Constraint Group 2: Shannonbridge to Maynooth Flows,intact,Knockearagh,33
ROI-W/2,ROI-W,West Constraint Group 2: Shannonbridge to Maynooth Flows,intact,Boggeragh,33
ROI-W/2,ROI-W,West Constraint Group 2: Shannonbridge to Maynooth Flows,intact,Lenalea,33
ROI-W/2,ROI-W,West Constraint Group 2: Shannonbridge to Maynooth Flows,intact,Booltiagh,33
ROI-W/2,ROI-W,West Constraint Group 2: Shannonbridge to Maynooth Flows,intact,Lisheen,33
