name,bus,carrier,p_set,q_set,psse_bus,psse_bus_name,aggregated
21804-LD,21804,AC,95.4,3.93,21804,DRYBRIDGE,False
21904-I,21904,AC,9.5,3.12,21904,DONORE,False
21904-LD,21904,AC,5.43,1.09,21904,DONORE,False
22208-LD,22208,AC,39.68,3.85,22208,DUNMANWAY,False
22404-LD,22404,AC,21.83,2.01,22404,DALLOW,False
22501-LD,22501,AC,10.86,2.51,22501,DARDISTOWN,False
22804-LD,22804,AC,32.74,4.33,22804,HY_DALTON,False
23002-LD,23002,AC,11.32,0.02,23002,DUNFIRTH,False
23601-LD,23601,AC,15.21,1.09,23601,ENNIS,False
23604-LD,23604,AC,57.7,6.42,23604,ENNIS,False
24202-I,24202,AC,155.84,6.97,24202,CORKAGH,False
24804-LD,24804,AC,66.81,0.17,24804,FASSAROE,False
25604-LD,25604,AC,41.04,-0.87,25604,FINGLAS,False
25901-LD,25901,AC,17.02,0.54,25901,FORTUNESTOWN,False
26802-I,26802,AC,11.42,2.83,26802,GILRA,False
27004-LD,27004,AC,77.8,22.15,27004,GLASMORE,False
27204-LD,27204,AC,56.49,-1.86,27204,GRIFFINRATH,False
27404-LD,27404,AC,22.27,3.7,27404,GREAT ISLAND,False
27604-LD,27604,AC,64.84,13.87,27604,GRANGE,False
27801-LD,27801,AC,14.92,0.81,27801,GALWAY,False
27804-LD,27804,AC,85.82,7.14,27804,GALWAY,False
28201-I,28201,AC,22.8,7.49,28201,GORTAWEE,False
28204-LD,28204,AC,11.95,2.17,28204,GORTAWEE,False
28601-LD,28601,AC,21.53,0.09,28601,GRANGE CASTL,False
28604-LD,28604,AC,49.01,-0.98,28604,GRANGE CASTL,False
28804-LD,28804,AC,16.13,3.27,28804,GLENLARA,False
29304-I,29304,AC,9.5,3.12,29304,WALTERSTOWN,False
29304-LD,29304,AC,41.28,9.78,29304,WALTERSTOWN,False
29401-LD,29401,AC,20.94,6.09,29401,HAROLDS CROS,False
