name,bus0,bus1,x,r,s_nom,tap_ratio,phase_shift,sub_network,s_nom_source,psse_ckt
T1472-1471-14721-1-w2,star:1472-1471-14721-1,1471,0.12487500000000004,0.0124875,999.0,1.0,-0.0,0,RATE1,1
T1602-1601-16022-1-w1,star:1602-1601-16022-1,1602,0.1305,0.00012499999999999979,250.0,1.0,-0.0,0,RATE1,1
T1602-1601-16022-1-w2,star:1602-1601-16022-1,1601,0.12487499999999997,0.0124875,999.0,1.0,-0.0,0,RATE1,1
T1602-16011-16021-1-w1,star:1602-16011-16021-1,1602,0.1305,0.00012499999999999979,250.0,1.0,-0.0,0,RATE1,1
T1602-16011-16021-1-w2,star:1602-16011-16021-1,16011,0.12487499999999997,0.0124875,999.0,1.0,-0.0,0,RATE1,1
T1642-1641-16421-1-w1,star:1642-1641-16421-1,1642,0.120428,-0.002023,238.0,1.0,-0.0,0,RATE1,1
T1642-1641-16421-1-w2,star:1642-1641-16421-1,1641,0.12487500000000004,0.0124875,999.0,1.0,-0.0,0,RATE1,1
T1642-1641-16422-2-w1,star:1642-1641-16422-2,1642,0.1265,-0.002125,250.0,1.0,-0.0,0,RATE1,2
T1642-1641-16422-2-w2,star:1642-1641-16422-2,1641,0.12487500000000004,0.0124875,999.0,1.0,-0.0,0,RATE1,2
T1642-16411-16424-4-w1,star:1642-16411-16424-4,1642,0.21122500000000002,0.0014875,175.0,1.0,-0.0,0,RATE1,4
T1642-16411-16424-4-w2,star:1642-16411-16424-4,16411,0.12487499999999997,0.012487499999999999,999.0,1.0,-0.0,0,RATE1,4
T1742-1741-17421-1-w1,star:1742-1741-17421-1,1742,0.13025,-0.000625,250.0,1.0,-0.0,0,RATE1,1
T1742-1741-17421-1-w2,star:1742-1741-17421-1,1741,0.12487500000000004,0.0124875,999.0,1.0,-0.0,0,RATE1,1
T1742-1741-17422-2-w1,star:1742-1741-17422-2,1742,0.13025,-0.000625,250.0,1.0,-0.0,0,RATE1,2
T1742-1741-17422-2-w2,star:1742-1741-17422-2,1741,0.12487500000000004,0.0124875,999.0,1.0,-0.0,0,RATE1,2
T1742-17411-17423-3-w1,star:1742-17411-17423-3,1742,0.13025,-0.000625,250.0,1.0,-0.0,0,RATE1,3
T1742-17411-17423-3-w2,star:1742-17411-17423-3,17411,0.12487500000000004,0.0124875,999.0,1.0,-0.0,0,RATE1,3
T1742-17411-17424-4-w1,star:1742-17411-17424-4,1742,0.1265,-0.002125,250.0,1.0,-0.0,0,RATE1,4
T1742-17411-17424-4-w2,star:1742-17411-17424-4,17411,0.12487500000000004,0.0124875,999.0,1.0,-0.0,0,RATE1,4
T2002-2001-20021-1-w1,star:2002-2001-20021-1,2002,0.12875,-0.001875,250.0,1.0,-0.0,0,RATE1,1
T2002-2001-20021-1-w2,star:2002-2001-20021-1,2001,0.12487500000000004,0.0124875,999.0,1.0,-0.0,0,RATE1,1
T2042-2041-20421-1-w1,star:2042-2041-20421-1,2042,0.12255,-0.0007999999999999999,250.0,1.0,-0.0,0,RATE1,1
T2042-2041-20421-1-w2,star:2042-2041-20421-1,2041,0.12487499999999997,0.012487500000000002,999.0,1.0,-0.0,0,RATE1,1
T2042-20416-20424-4-w1,star:2042-20416-20424-4,2042,0.12124999999999998,-0.0014750000000000002,250.0,1.0,-0.0,0,RATE1,4
T2042-20416-20424-4-w2,star:2042-20416-20424-4,20416,0.12487500000000001,0.0124875,999.0,1.0,-0.0,0,RATE1,4
T2052-2041-20422-2-w1,star:2052-2041-20422-2,2052,0.12124999999999998,-0.0014750000000000002,250.0,1.0,-0.0,0,RATE1,2
T2052-2041-20422-2-w2,star:2052-2041-20422-2,2041,0.12487500000000001,0.0124875,999.0,1.0,-0.0,0,RATE1,2
T2204-2202-22021-1-w1,star:2204-2202-22021-1,2204,0.096,-0.0052499999999999995,500.0,1.0,-0.0,0,RATE1,1
T2204-2202-22021-1-w2,star:2204-2202-22021-1,2202,0.12487499999999997,0.0124875,999.0,1.0,-0.0,0,RATE1,1
T2204-2202-22022-2-w1,star:2204-2202-22022-2,2204,0.07250000000000001,-0.00475,500.0,1.0,-0.0,0,RATE1,2
T2204-2202-22022-2-w2,star:2204-2202-22022-2,2202,0.12487500000000001,0.0124875,999.0,1.0,-0.0,0,RATE1,2
T2522-2521-25221-1-w1,star:2522-2521-25221-1,2522,0.144375,0.0018124999999999999,125.0,1.0,-0.0,0,RATE1,1
T2522-2521-25221-1-w2,star:2522-2521-25221-1,2521,0.12487499999999997,0.0124875,999.0,1.0,-0.0,0,RATE1,1
T2522-2521-25222-2-w1,star:2522-2521-25222-2,2522,0.15075,-0.0005625,125.0,1.0,-0.0,0,RATE1,2
T2522-2521-25222-2-w2,star:2522-2521-25222-2,2521,0.12487499999999997,0.0124875,999.0,1.0,-0.0,0,RATE1,2
T2562-2561-25621-1-w1,star:2562-2561-25621-1,2562,0.1315,0.00012499999999999979,250.0,1.0,-0.0,0,RATE1,1
T2562-2561-25621-1-w2,star:2562-2561-25621-1,2561,0.12487500000000004,0.0124875,999.0,1.0,-0.0,0,RATE1,1
T2562-2571-25622-2-w1,star:2562-2571-25622-2,2562,0.13074999999999998,0.00012499999999999979,250.0,1.0,-0.0,0,RATE1,2
T2562-2571-25622-2-w2,star:2562-2571-25622-2,2571,0.12487500000000001,0.0124875,999.0,1.0,-0.0,0,RATE1,2
T2563-2561-25624-4-w1,star:2563-2561-25624-4,2563,0.12824999999999998,-0.000625,250.0,1.0,-0.0,0,RATE1,4
T2563-2561-25624-4-w2,star:2563-2561-25624-4,2561,0.12487500000000001,0.0124875,999.0,1.0,-0.0,0,RATE1,4
T2563-2571-25625-5-w1,star:2563-2571-25625-5,2563,0.12875,-0.000625,250.0,1.0,-0.0,0,RATE1,5
T2563-2571-25625-5-w2,star:2563-2571-25625-5,2571,0.12487500000000004,0.0124875,999.0,1.0,-0.0,0,RATE1,5
T2742-2741-27421-1-w1,star:2742-2741-27421-1,2742,0.15075,0.0016874999999999995,125.0,1.0,-0.0,0,RATE1,1
T2742-2741-27421-1-w2,star:2742-2741-27421-1,2741,0.12487499999999997,0.0124875,999.0,1.0,-0.0,0,RATE1,1
T2742-2741-27422-2-w1,star:2742-2741-27422-2,2742,0.139,0.0013124999999999996,125.0,1.0,-0.0,0,RATE1,2
T2742-2741-27422-2-w2,star:2742-2741-27422-2,2741,0.12487499999999997,0.0124875,999.0,1.0,-0.0,0,RATE1,2
T2842-2841-28421-1-w1,star:2842-2841-28421-1,2842,0.12875,-0.000625,250.0,1.0,-0.0,0,RATE1,1
