name,bus,carrier,p_set,q_set,psse_bus,psse_bus_name,aggregated
76531-NI,76513,AC,13.17,1.88,76531,DONE3AS,True
76532-NI,76511,AC,12.75,1.82,76532,DONE3N,True
77030-NI,77010,AC,24.06,3.43,77030,DRUM3-,True
77530-NI,77511,AC,27.85,3.97,77530,DUNG3-,True
78030-NI,73012,AC,13.52,1.93,78030,DUNM3-,True
78530-NI,78511,AC,10.11,1.44,78530,EDEN3-,True
79030-NI,79010,AC,15.63,2.23,79030,ENNK3-,True
80030-NI,80011,AC,9.17,1.31,80030,FINY3-,True
80531-NI,74011,AC,5.3,0.75,80531,GLEN3-,True
82001-HL,82020,AC,3.63,1.19,82001,KILRG1-,True
82002-HL,82020,AC,3.63,1.19,82002,KILRG2-,True
82530-NI,82511,AC,13.35,1.9,82530,KNCK3A,True
83030-NI,83012,AC,12.66,1.8,83030,LARN3-,True
83530-NI,83510,AC,6.46,0.92,83530,LIMA3-,True
84030-NI,84011,AC,18.85,2.69,84030,LISB3-,True
84430-NI,84412,AC,11.17,2.27,84430,LSMR3-,True
84530-NI,84511,AC,11.13,2.26,84530,LOGE3-,True
86330-NI,86312,AC,12.03,1.71,86330,NARD3-,True
86530-NI,86512,AC,21.64,3.08,86530,NEWY3-,True
87530-NI,87510,AC,16.6,2.37,87530,OMAH3-,True
88030-NI,88012,AC,15.3,2.18,88030,RATH3-,True
88530-NI,88512,AC,9.92,1.41,88530,ROSE3-,True
89330-NI,89311,AC,9.65,1.38,89330,SPRN3-,True
89530-NI,89510,AC,11.85,1.69,89530,STRA3-,True
90530-NI,90511,AC,19.03,2.71,90530,WARN3-,True
