name,bus0,bus1,x,r,b,s_nom,length,carrier,sub_network,s_nom_source,psse_ckt
1621-3061-1,1621,3061,1.2221,0.484,8.264462809917356e-06,217.0,2.74,AC,0,RATE1,1
1621-3221-1,1621,3221,5.926216999999999,2.4222989999999998,0.00012958677685950414,201.0,14.36,AC,0,RATE1,1
1631-2671-1,1631,2671,2.2748000000000004,0.44770000000000004,2.71900826446281e-05,210.0,5.83,AC,0,RATE1,1
1631-5041-1,1631,5041,5.287700000000001,2.3958000000000004,3.388429752066116e-05,210.0,12.7,AC,0,RATE1,1
1631-10619-1,1631,10619,5.384499999999999,1.0406,4.049586776859504e-05,210.0,13.68,AC,0,RATE1,1
1641-1821-1,1641,1821,8.9661,1.7423999999999997,6.694214876033058e-05,210.0,22.8,AC,0,RATE1,1
1641-2361-1,1641,2361,21.0177,4.0656,0.00015619834710743803,210.0,53.47,AC,0,RATE1,1
1641-2781-1,1641,2781,5.4329,1.0527,4.049586776859504e-05,210.0,13.8,AC,0,RATE1,1
1641-2781-2,1641,2781,4.4528,0.8591,3.305785123966942e-05,210.0,11.3,AC,0,RATE1,2
1641-2781-3,1641,2781,4.4528,0.8591,3.305785123966942e-05,210.0,11.3,AC,0,RATE1,3
1641-4951-1,1641,4951,8.47,1.9481,0.0005619834710743802,105.0,24.86,AC,0,RATE1,1
1641-16410-1,1641,16410,0.242,0.2541,0.00033801652892561984,124.0,3.36,AC,0,RATE1,1
1641-16411-1,1641,16411,0.012100000000000001,0.0,0.0,123.0,0.0,AC,0,RATE1,1
1641-16461-1,1641,16461,0.012100000000000001,0.0,0.0,123.0,0.0,AC,0,RATE1,1
1641-22811-1,1641,22811,23.8854,4.622199999999999,0.00017685950413223137,210.0,60.76,AC,0,RATE1,1
1641-50019-1,1641,50019,20.811999999999998,9.4138,0.00013305785123966942,121.0,50.02,AC,0,RATE1,1
1642-2522-1,1642,2522,36.9292,4.9852,0.00023801652892561982,436.0,88.09,AC,0,RATE1,1
1642-4522-1,1642,4522,37.122800000000005,4.9852,0.00023925619834710743,468.0,88.54,AC,0,RATE1,1
1642-5172-1,1642,5172,16.3108,2.2443079999999993,0.00011983471074380167,792.0,39.89,AC,0,RATE1,1
1651-5261-1,1651,5261,3.7510000000000003,1.694,2.3966942148760328e-05,121.0,9.0,AC,0,RATE1,1
1651-5281-1,1651,5281,5.4329,2.4200000000000004,0.00010909090909090909,123.0,13.5,AC,0,RATE1,1
1661-1821-1,1661,1821,22.6875,4.3923,0.00016859504132231404,210.0,57.7,AC,0,RATE1,1
1661-1951-1,1661,1951,9.428562,4.240324,0.00048429752066115705,121.0,26.71,AC,0,RATE1,1
1661-2281-1,1661,2281,10.914200000000001,2.1175,8.099173553719009e-05,210.0,27.76,AC,0,RATE1,1
1661-16661-1,1661,16661,0.012100000000000001,0.0,0.0,123.0,0.0,AC,0,RATE1,1
1661-16662-1,1661,16662,1.2100000000000002,0.0,0.0,881.0,0.0,AC,0,"station coupler, bounded by the weaker end",1
1671-1941-1,1671,1941,0.08470000000000001,0.024200000000000003,4.628099173553718e-05,140.0,0.5,AC,0,RATE1,1
1681-3881-1,1681,3881,0.9559000000000002,0.19360000000000002,7.438016528925619e-06,210.0,2.41,AC,0,RATE1,1
1681-32210-1,1681,32210,12.6203,2.4442,9.338842975206611e-05,210.0,32.09,AC,0,RATE1,1
1691-5131-1,1691,5131,0.6776000000000001,0.3509,0.0005991735537190082,116.0,5.59,AC,0,RATE1,1
1691-51319-1,1691,51319,0.44770000000000004,0.21779999999999997,0.00020413223140495866,100.0,3.38,AC,0,RATE1,1
1701-1761-1,1701,1761,2.2264,0.7018,1.5702479338842974e-05,68.0,5.5,AC,0,RATE1,1
1701-1981-1,1701,1981,24.103199999999998,4.6585,0.00017851239669421489,210.0,61.3,AC,0,RATE1,1
1701-5041-1,1701,5041,21.6227,7.852900000000001,0.00017438016528925618,191.0,52.63,AC,0,RATE1,1
1701-17010-1,1701,17010,0.012100000000000001,0.0,0.0,999.0,0.0,AC,0,RATE1,1
1701-17061-1,1701,17061,0.012100000000000001,0.0,0.0,123.0,0.0,AC,0,RATE1,1
1701-28712-2,1701,28712,10.691076,4.6706,7.834710743801653e-05,210.0,25.74,AC,0,RATE1,2
1711-3421-2,1711,3421,0.2541,0.121,0.00011239669421487603,114.0,1.35,AC,0,RATE1,2
1721-2161-1,1721,2161,6.1831,1.1979000000000002,4.628099173553718e-05,210.0,15.73,AC,0,RATE1,1
1721-2391-1,1721,2391,7.0664,1.3673,5.289256198347108e-05,210.0,17.95,AC,0,RATE1,1
1721-5381-1,1721,5381,7.1027,1.3794,5.289256198347108e-05,210.0,18.06,AC,0,RATE1,1
1721-14619-1,1721,14619,17.375600000000002,3.3638,0.00012892561983471074,210.0,44.2,AC,0,RATE1,1
1721-17261-1,1721,17261,0.012100000000000001,0.0,0.0,123.0,0.0,AC,0,RATE1,1
1731-3421-1,1731,3421,0.2541,0.121,0.00011239669421487603,114.0,1.35,AC,0,RATE1,1
1741-1851-1,1741,1851,0.9800999999999999,0.4598,0.00024380165289256196,123.0,4.0,AC,0,RATE1,1
1741-4511-1,1741,4511,0.30250000000000005,0.1573,0.00046776859504132234,127.0,3.2,AC,0,RATE1,1
1741-51319-1,1741,51319,0.048400000000000006,0.024200000000000003,8.264462809917356e-07,159.0,0.1,AC,0,RATE1,1
1742-2202-1,1742,2202,17.4724,2.3716000000000004,0.00022520661157024793,513.0,41.61,AC,0,RATE1,1
1742-3122-1,1742,3122,2.2414039999999997,0.134552,0.0006725206611570249,593.0,11.89,AC,0,RATE1,1
1742-17420-1,1742,17420,1.7423999999999997,0.484,0.0017148760330578513,570.0,25.0,AC,0,RATE1,1
1742-17420-2,1742,17420,1.7423999999999997,0.484,0.0017148760330578513,570.0,25.0,AC,0,RATE1,2
1742-17462-1,1742,17462,0.048400000000000006,0.0,0.0,513.0,0.0,AC,0,RATE1,1
1791-4201-1,1791,4201,8.699900000000001,2.6257,6.115702479338842e-05,159.0,21.6,AC,0,RATE1,1
1791-4481-1,1791,4481,7.5746,1.4641,5.6198347107438014e-05,210.0,19.25,AC,0,RATE1,1
1801-4111-1,1801,4111,5.445,1.6456,0.00022479338842975205,133.0,15.1,AC,0,RATE1,1
