osm,name,names,keys,power,operator,voltage_kv,max_kv,lat,lon
way/386298866,Lisahally Power Station,Lisahally Power Station | Lisahally Biomass Power Plant,LISAHALLY | LISAHALLY BIOMASS,plant,Evermore Renewable Energy,,,55.041417,-7.2570794
way/166809454,Lisburn 110kV Substation,Lisburn 110kV Substation,LISBURN,substation,NIE Networks,110,110.0,54.5211635,-6.0904031
way/437168563,Lisburn 33 kV Substation,Lisburn 33 kV Substation,LISBURN,substation,NIE Networks,33,33.0,54.5110107,-6.0347905
relation/17684768,Lisdowney Wind Farm,Lisdowney Wind Farm,LISDOWNEY WIND FARM,plant,Greencoat Renewables,,,52.7839309,-7.4340322
way/267172950,Lisdrum 110 kV Substation,Lisdrum 110 kV Substation,LISDRUM,substation,EirGrid,110;38;20,110.0,54.2447228,-6.9102424
way/1067393040,Lisdrumdoagh Energy Storage Facility,Lisdrumdoagh Energy Storage Facility,LISDRUMDOAGH ENERGY STORAGE FACILITY,plant,Highfield Storage Ltd,,,54.2443142,-6.9122464
way/374709194,Lisheen 110kV Substation,Lisheen 110kV Substation,LISHEEN,substation,EirGrid,110,110.0,52.7513555,-7.6819128
relation/14290829,Lisheen Mines Wind Farm,Lisheen Mines Wind Farm,LISHEEN MINES WIND FARM,plant,Ørsted,,,52.7587544,-7.6746406
way/278792455,Lisheeny 38 kV Substation,Lisheeny 38 kV Substation,LISHEENY,substation,ESB Networks,38;10,38.0,53.1214337,-8.4389569
way/616256059,Lismore 38 kV Substation,Lismore 38 kV Substation,LISMORE,substation,ESB Networks,38;10,38.0,52.1366141,-7.9209338
way/1132369968,Lisnabreeny 110 kV Substation,Lisnabreeny 110 kV Substation,LISNABREENY,substation,NIE Networks,110,110.0,54.5611049,-5.8682101
way/375409707,Little Bray 38kV Substation,Little Bray 38kV Substation,LITTLE BRAY,substation,ESB Networks,38;10,38.0,53.2090011,-6.1258896
way/437157999,Little Mills 38kV Substation,Little Mills 38kV Substation | Littlemill 38kV Substation,LITTLE MILLS | LITTLEMILL,substation,ESB Networks,38,38.0,53.9867823,-6.4364597
way/455037782,Littleconnell 38kV Substation,Littleconnell 38kV Substation,LITTLECONNELL,substation,ESB Networks,38,38.0,53.1870501,-6.7777932
way/440436167,Lloyd 38 kV Substation,Lloyd 38 kV Substation,LLOYD,substation,ESB Networks,38,38.0,53.7383061,-6.9017319
way/165025345,Local Energy Centre,Local Energy Centre,LOCAL ENERGY CENTRE,substation,ESB Networks,20;10,20.0,53.2772221,-9.0671139
way/185693432,Lodgewood 220kV Substation,Lodgewood 220kV Substation,LODGEWOOD,substation,EirGrid,220;110,220.0,52.579161,-6.5375093
way/193197077,Loguestown 110kV Substation,Loguestown 110kV Substation,LOGUESTOWN,substation,NIE Networks,110,110.0,55.1478388,-6.6561595
relation/19822647,Long Mountain Wind Farm,Long Mountain Wind Farm,LONG MOUNTAIN WIND FARM,plant,Energia,,,54.9732909,-6.4373248
way/438404648,Long Point 220kV Substation,Long Point 220kV Substation,LONG POINT,substation,EirGrid,220,220.0,51.8340558,-8.2382111
