station,method,osm,osm_name,osm_lat,osm_lon,eirgrid_lat,eirgrid_lon,distance_km,agrees
CRORY,exact,way/540091715,Crory 110kV Substation,52.579165,-6.5358105,52.579223991932,-6.535843003371965,0.006917509739291081,True
SINGLAND,exact,way/220264906,Singland 110kV Substation,52.6634944,-8.5873819,52.66351364539572,-8.587291000622223,0.006492977610933776,True
MOUNT LUCAS,exact,way/507859235,Mount Lucas 110kV Substation,53.262337,-7.2520289,53.262301305977445,-7.252103934240963,0.0063764814628363645,True
ATHEA,exact,way/439831815,Athea Substation,52.43755,-9.3004089,52.43759822084886,-9.300450824327603,0.006068510238845081,True
LISDRUM,exact,way/267172950,Lisdrum 110 kV Substation,54.2447228,-6.9102424,54.24468029673181,-6.910186012689094,0.005979909120666002,True
KNOCKANURE,exact,way/1003262502,Knockanure 220kV Substation,52.4345623,-9.3733302,52.434584444532504,-9.37325614690881,0.0055915729216566784,True
DUNDALK,exact,way/266244304,Dundalk 110kV Substation,54.0053368,-6.4237884,54.00535257802165,-6.423708012744934,0.0055385610349616655,True
TANEY,exact,way/1264633852,Taney 110 kV Substation,53.2885883,-6.245051,53.288594656106966,-6.245128261356561,0.005184023375116225,True
BRACETOWN,exact,way/819286958,Bracetown 220kV Substation,53.4222695,-6.4457133,53.42222600134751,-6.445735993137584,0.005065186762321855,True
COLLEGE PARK,exact,way/446020910,College Park 110kV Substation,53.4105364,-6.3761003,53.41052962127094,-6.376026001976247,0.004981889249547694,True
MISERY HILL,exact,way/102694971,Misery Hill Substation,53.3451982,-6.2393583,53.34519448624749,-6.239432070003964,0.004914427324637471,True
FORTUNESTOWN,exact,way/448710346,Fortunestown 110kV Substation,53.2829452,-6.4171604,53.28296626027493,-6.417222731742453,0.004759722437011642,True
MULREAVY,exact,way/547588242,Mulreavy 110kV Substation,54.6644867,-7.9692346,54.66450767885352,-7.969173401990347,0.00457510065827318,True
CLOGHBOOLA,exact,way/494790508,Cloghboola 110kV Substation,52.3305984,-9.4380864,52.330628690181975,-9.438041650084083,0.004537721163116448,True
KNOCKACUMMER,exact,way/508612114,Knockacummer 110kV Substation,52.2595355,-9.1006362,52.25957529631091,-9.10063116712318,0.0044383919218462025,True
SALTHILL,exact,way/146157089,Salthill 110kV Substation,53.2741041,-9.0793907,53.27413810602518,-9.079412008437549,0.004038039398685746,True
PELLETSTOWN,exact,way/445358256,Pelletstown 110kV Substation,53.3815035,-6.3275833,53.38152722199772,-6.327627163220469,0.0039270483358257125,True
POTTERY ROAD,truncated,way/443080676,Pottery Road 110-kV Substation,53.2734538,-6.1519907,53.27342041286851,-6.151976585855264,0.0038292746719902327,True
COOKSTOWN,exact,way/98142043,Cookstown 110kV Substation,53.2931796,-6.3781277,53.29321147221826,-6.378133242861223,0.003563129714307443,True
MEENTYCAT,exact,way/183549490,Meentycat 110kV Substation,54.8676656,-7.842446,54.86768727032328,-7.8424856610052105,0.003499588670808858,True
ANNER,exact,way/235794888,Anner 110kV Substation,52.3719788,-7.6492028,52.371951499573875,-7.649226102550209,0.0034231472712654815,True
ADAMSTOWN,exact,way/438027242,Adamstown 110kV Substation,53.3403233,-6.4790891,53.3403323224425,-6.479128465769046,0.0027994470427018165,True
TULLABRACK,exact,way/218901878,Tullabrack 110kV Substation,52.6730693,-9.4791123,52.6730884556537,-9.47913009456716,0.0024446791882713455,True
MONREAD,exact,way/87982346,Monread 110kV Substation,53.2412035,-6.6456698,53.24122540865394,-6.645672335606553,0.0024419708078968613,True
ARTANE,exact,way/445314428,Artane 110kV Substation,53.382358,-6.2094672,53.38234735432395,-6.209496724379051,0.002288185733057008,True
ENNIS,exact,way/52291514,Ennis 110kV Substation,52.860201,-8.9358728,52.8601821864905,-8.935860706943748,0.002243985944626643,True
BANOGE,exact,way/185706609,Banoge 110kV,52.6502648,-6.2725523,52.650265745776764,-6.2725835704647555,0.0021121154658964502,True
