name,bus0,bus1,x,r,b,s_nom,length,carrier,sub_network,s_nom_source,psse_ckt
36432-36462-1,36432,36462,0.08,0.062400000000000004,0.0001,18.0,0.8,AC,0,RATE1,1
36442-36482-1,36442,36482,0.0632,0.0512,7.5e-05,18.0,0.6,AC,0,RATE1,1
36442-36492-1,36442,36492,0.48840000000000006,0.3948,0.00055,18.0,4.65,AC,0,RATE1,1
36502-36503-1,36502,36503,0.0004,0.0,0.0,9999.0,0.0,AC,0,no rating in the file and none inferable; kept the file's 9999,1
38203-38204-1,38203,38204,1.72558,1.6418279999999998,1.3850415512465375e-05,30.0,4.4,AC,0,RATE1,1
38204-38214-1,38204,38214,4.265575999999999,3.539244,3.462603878116344e-05,49.0,11.1,AC,0,RATE1,1
38204-38224-1,38204,38224,1.351584,0.48374,1.3850415512465375e-05,40.0,3.8,AC,0,RATE1,1
38211-38242-1,38211,38242,6.56,4.1624,2.5e-05,18.0,5.15,AC,0,RATE1,1
38214-38264-1,38214,38264,3.92046,3.7312960000000004,3.462603878116344e-05,21.0,10.0,AC,0,RATE1,1
38224-38234-1,38224,38234,0.001444,0.0,0.0,999.0,0.0,AC,0,RATE1,1
38224-38254-1,38224,38254,9.329684,8.877712,6.925207756232688e-05,20.0,23.8,AC,0,RATE1,1
38233-38234-1,38233,38234,1.921964,1.828104,2.077562326869806e-05,30.0,4.9,AC,0,RATE1,1
38234-38244-1,38234,38244,5.160856,4.760867999999999,0.0,22.0,12.9,AC,0,RATE1,1
38264-38284-1,38264,38284,2.2887399999999998,2.1082400000000003,0.00013157894736842105,30.0,6.7,AC,0,RATE1,1
40004-40014-1,40004,40014,0.581932,0.249812,0.00048476454293628815,44.0,5.3,AC,0,RATE1,1
40912-40922-1,40912,40922,0.2696,0.1696,2.5e-05,18.0,0.77,AC,0,RATE1,1
40922-40932-1,40922,40932,0.924,0.5808,2.5e-05,18.0,2.64,AC,0,RATE1,1
42004-42014-1,42004,42014,0.55594,0.19494,4.155124653739612e-05,44.0,1.83,AC,0,RATE1,1
42011-42021-1,42011,42021,0.525,0.33,0.0001,9.0,1.5,AC,0,RATE1,1
42204-42214-1,42204,42214,7.84092,7.461148000000001,6.232686980609417e-05,30.0,20.0,AC,0,RATE1,1
42204-42224-1,42204,42224,1.9696159999999998,0.6223639999999999,6.9252077562326875e-06,45.0,5.1,AC,0,RATE1,1
42224-42234-1,42224,42234,2.784032,2.64974,2.077562326869806e-05,51.0,7.1,AC,0,RATE1,1
42234-42244-1,42234,42244,2.352276,2.2382,2.077562326869806e-05,30.0,6.0,AC,0,RATE1,1
42244-68554-1,42244,68554,0.39276799999999995,0.373996,6.9252077562326875e-06,30.0,1.0,AC,0,RATE1,1
43704-43714-1,43704,43714,0.109744,0.047652,9.695290858725761e-05,44.0,1.0,AC,0,RATE1,1
43704-43724-1,43704,43724,1.727024,0.59204,2.077562326869806e-05,49.0,4.85,AC,0,RATE1,1
43742-43752-1,43742,43752,1.7,1.166,0.00075,18.0,9.5,AC,0,RATE1,1
44001-44011-1,44001,44011,0.5939999999999999,0.2538,0.0,12.0,0.0,AC,0,RATE1,1
44804-44805-1,44804,44805,0.001444,0.0,0.0,100.0,0.0,AC,0,"station coupler, bounded by the weaker end",1
44804-44814-1,44804,44814,0.911164,0.573268,1.3850415512465375e-05,40.0,2.6,AC,0,RATE1,1
44804-44834-1,44804,44834,7.118919999999999,2.44036,6.925207756232688e-05,60.0,20.0,AC,0,RATE1,1
44811-44821-1,44811,44821,0.11,0.08560000000000001,0.0002,10.0,1.1,AC,0,RATE1,1
44812-68285-1,44812,68285,1.9251999999999998,1.2104,5e-05,18.0,5.5,AC,0,RATE1,1
46804-46814-1,46804,46814,5.178184,4.883608,2.770083102493075e-05,22.0,13.13,AC,0,RATE1,1
46804-46834-1,46804,46834,3.2042360000000003,1.098884,3.462603878116344e-05,49.0,9.0,AC,0,RATE1,1
46804-46854-1,46804,46854,3.32842,3.1681360000000005,2.770083102493075e-05,30.0,8.49,AC,0,RATE1,1
46804-68547-1,46804,68547,0.001444,0.0,0.0,101.0,0.0,AC,0,"station coupler, bounded by the weaker end",1
46814-46824-1,46814,46824,3.998436,3.8049399999999998,3.462603878116344e-05,30.0,10.2,AC,0,RATE1,1
46834-46844-1,46834,46844,0.941488,0.89528,1.3850415512465375e-05,26.0,2.4,AC,0,RATE1,1
47004-47014-1,47004,47014,1.7804520000000001,0.6108119999999999,2.077562326869806e-05,60.0,5.0,AC,0,RATE1,1
47014-47024-1,47014,47024,1.7804520000000001,0.6108119999999999,2.077562326869806e-05,60.0,5.0,AC,0,RATE1,1
47024-47034-1,47024,47034,0.24548000000000003,0.15450799999999998,6.9252077562326875e-06,40.0,0.7,AC,0,RATE1,1
47210-47261-1,47210,47261,0.012100000000000001,0.0,0.0,123.0,0.0,AC,0,RATE1,1
49504-49514-1,49504,49514,1.020908,0.437532,0.0008518005540166204,44.0,9.3,AC,0,RATE1,1
49604-49605-1,49604,49605,0.001444,0.0,0.0,40.0,0.0,AC,0,"station coupler, bounded by the weaker end",1
49604-49614-1,49604,49614,2.477904,1.498872,0.0002631578947368421,40.0,8.89,AC,0,RATE1,1
49802-49832-1,49802,49832,0.8751999999999999,0.5503999999999999,2.5e-05,18.0,2.5,AC,0,RATE1,1
49804-49814-1,49804,49814,10.272616000000001,9.772991999999999,8.310249307479224e-05,23.0,26.2,AC,0,RATE1,1
49812-49832-1,49812,49832,2.24,1.408,5e-05,18.0,6.4,AC,0,RATE1,1
49832-49842-1,49832,49842,1.4352,0.9024,2.5e-05,18.0,4.1,AC,0,RATE1,1
49912-49932-1,49912,49932,0.0004,0.0,0.0,18.0,7.2,AC,0,RATE1,1
49912-49942-1,49912,49942,0.0004,0.0,0.0,18.0,1.65,AC,0,RATE1,1
49912-49952-1,49912,49952,0.0004,0.0,0.0,18.0,7.6,AC,0,RATE1,1
49952-49962-1,49952,49962,0.3504,0.22,2.5e-05,18.0,1.0,AC,0,RATE1,1
49952-49982-1,49952,49982,0.154,0.12959999999999997,7.5e-05,11.0,0.79,AC,0,RATE1,1
49977-49978-1,49977,49978,4.7609999999999993e-07,0.0,0.0,999.0,0.0,AC,0,RATE1,1
49977-49979-1,49977,49979,4.7609999999999993e-07,0.0,0.0,999.0,0.0,AC,0,RATE1,1
50004-50014-1,50004,50014,10.113776,9.62426,7.617728531855956e-05,26.0,25.8,AC,0,RATE1,1
50022-50032-1,50022,50032,1.3128,1.0616,0.00145,18.0,12.5,AC,0,RATE1,1
52201-52211-1,52201,52211,2.625,1.65,4e-05,9999.0,0.0,AC,0,no rating in the file and none inferable; kept the file's 9999,1
52204-52214-1,52204,52214,0.089528,0.038988,7.617728531855956e-05,44.0,0.81,AC,0,RATE1,1
52204-52224-1,52204,52224,1.2544028,1.1936104,9.002770083102493e-06,21.0,3.2,AC,0,RATE1,1
52224-52234-1,52224,52234,4.978911999999999,4.737764,0.0003739612188365651,21.0,12.7,AC,0,RATE1,1
52404-52414-1,52404,52414,0.044764,0.020215999999999998,4.155124653739612e-05,44.0,0.4,AC,0,RATE1,1
52604-52654-1,52604,52654,0.53428,0.183388,6.9252077562326875e-06,60.0,1.5,AC,0,RATE1,1
52604-52694-1,52604,52694,3.7645079999999997,3.58112,3.462603878116344e-05,30.0,9.6,AC,0,RATE1,1
52605-52615-1,52605,52615,0.980476,0.9328240000000001,1.3850415512465375e-05,23.0,2.5,AC,0,RATE1,1
52605-52694-1,52605,52694,2.843236,2.704612,2.770083102493075e-05,30.0,7.25,AC,0,RATE1,1
52614-52624-1,52614,52624,2.085136,0.893836,0.0017313019390581717,44.0,19.0,AC,0,RATE1,1
52624-52634-1,52624,52634,0.438976,0.189164,0.00036703601108033245,44.0,4.0,AC,0,RATE1,1
52624-52644-1,52624,52644,0.438976,0.189164,0.00036703601108033245,44.0,4.0,AC,0,RATE1,1
52625-52674-1,52625,52674,1.085888,0.6830120000000001,1.3850415512465375e-05,40.0,3.1,AC,0,RATE1,1
52654-52664-1,52654,52664,7.2532119999999995,6.900875999999999,5.54016620498615e-05,30.0,18.5,AC,0,RATE1,1
52664-52674-1,52664,52674,1.4714360000000002,0.92416,1.3850415512465375e-05,40.0,4.2,AC,0,RATE1,1
52694-68233-2,52694,68233,5.321140000000001,3.344304,4.8476454293628806e-05,40.0,15.2,AC,0,RATE1,2
